indice_tiempo,nivel_general
11/1/1995,100.5458
12/1/1995,100.6477
1/1/1996,100.9494
2/1/1996,100.6214
3/1/1996,100.0785
4/1/1996,100.0801
5/1/1996,99.9908
6/1/1996,99.9934
7/1/1996,100.5356
8/1/1996,100.4577
9/1/1996,100.6401
10/1/1996,101.1474
11/1/1996,100.9903
12/1/1996,100.7024
1/1/1997,101.1727
2/1/1997,101.5617
3/1/1997,101.0611
4/1/1997,100.7271
5/1/1997,100.6435
6/1/1997,100.8726
7/1/1997,101.0968
8/1/1997,101.2632
9/1/1997,101.2147
10/1/1997,101.0561
11/1/1997,100.8608
12/1/1997,101.0327
1/1/1998,101.6677
2/1/1998,102.0222
3/1/1998,101.8941
4/1/1998,101.9056
5/1/1998,101.832
6/1/1998,102.0264
7/1/1998,102.3453
8/1/1998,102.3659
9/1/1998,102.3343
10/1/1998,101.9599
11/1/1998,101.7178
12/1/1998,101.704
1/1/1999,102.1834
2/1/1999,102.0193
3/1/1999,101.2533
4/1/1999,101.1542
5/1/1999,100.6561
6/1/1999,100.65
7/1/1999,100.8371
8/1/1999,100.4575
9/1/1999,100.2574
10/1/1999,100.2417
11/1/1999,99.9248
12/1/1999,99.8627
1/1/2000,100.7068
2/1/2000,100.7109
3/1/2000,100.1788
4/1/2000,100.0661
5/1/2000,99.6772
6/1/2000,99.4929
7/1/2000,99.925
8/1/2000,99.71
9/1/2000,99.5569
10/1/2000,99.74
11/1/2000,99.25
12/1/2000,99.13
1/1/2001,99.21
2/1/2001,98.99
3/1/2001,99.18
4/1/2001,99.84
5/1/2001,99.9
6/1/2001,99.18
7/1/2001,98.86
8/1/2001,98.51
9/1/2001,98.43
10/1/2001,98
11/1/2001,97.68
12/1/2001,97.6
1/1/2002,99.84
2/1/2002,102.97
3/1/2002,107.05
4/1/2002,118.17
5/1/2002,122.91
6/1/2002,127.36
7/1/2002,131.42
8/1/2002,134.5
9/1/2002,136.31
10/1/2002,136.61
11/1/2002,137.31
12/1/2002,137.57
1/1/2003,139.38
2/1/2003,140.17
